ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,216766,Age specific fertility rate: 15-19,103,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2021,MIS,,,,,
NGA,216780,Age specific fertility rate: 20-24,212,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2021,MIS,,,,,
NGA,216783,Age specific fertility rate: 25-29,218,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2021,MIS,,,,,
NGA,216784,Age specific fertility rate: 30-34,193,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2021,MIS,,,,,
NGA,216785,Age specific fertility rate: 35-39,128,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2021,MIS,,,,,
NGA,216767,Age specific fertility rate: 40-44,63,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2021,MIS,,,,,
NGA,216769,Age specific fertility rate: 45-49,43,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2021,MIS,,,,,
NGA,216768,Total fertility rate 15-49,4.8,1,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2021,MIS,,,,,
NGA,216770,Total fertility rate 15-44,4.6,1,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2021,MIS,,,,,
NGA,216776,General fertility rate,164,0,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2021,MIS,,,,,
NGA,216777,Crude birth rate,32.4,1,NG,Nigeria,2021,NG2021MIS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2021,MIS,,,,,
